pair,pair_alias,domain,fidelity,cohort,baseline_k,joint_k,delta_k,baseline_coupling_ratio,joint_coupling_ratio,equal_k_coupling_repair,baseline_status,joint_status,baseline_source,joint_source
EP032000__EP041975,H29,hurricane,continuous,stratified final20 single observation,8.0,8.0,0.0,1.3754495335337635,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\62\attempts\final20_62_d9a1a067bb774a53933e28812954c0c6,output\paper_v1\hurricane_final_20\slots\64\attempts\final20_64_4b3df03886be47cba638b38fd36fc6e7
EP032000__EP041975,H29,hurricane,discrete,stratified final20 single observation,34.0,34.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\63\attempts\final20_63_4ca3c6daf95b47b0882782af61c2b120,output\paper_v1\hurricane_final_20\slots\61\attempts\final20_61_4070de11bcbf480b88acbf4063e461e3
EP081993__EP121989,H30,hurricane,continuous,stratified final20 single observation,8.0,8.0,0.0,1.9343182864615145,1.0,True,validated,validated,output\paper_v1\hurricane_final_20\slots\65\attempts\final20_65_42ae1722c38d41da9bb9ab9d9719888c,output\paper_v1\hurricane_final_20\slots\67\attempts\final20_67_b9613bc87fb644248f17fad70973d282
EP081993__EP121989,H30,hurricane,discrete,stratified final20 single observation,54.0,54.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\66\attempts\final20_66_8e17affc1fcd472a9202a8ff6ea049a1,output\paper_v1\hurricane_final_20\slots\68\attempts\final20_68_2303304f7720454ab54fd261efac9fa1
EP032006__EP201992,H31,hurricane,continuous,stratified final20 single observation,10.0,10.0,0.0,1.1021030216774912,0.9904771622684038,True,validated,validated,output\paper_v1\hurricane_final_20\slots\72\attempts\final20_72_832738003bd84bc4a27e2189171073c3,output\paper_v1\hurricane_final_20\slots\70\attempts\final20_70_20db140a05394c369c27539bd6baa588
EP032006__EP201992,H31,hurricane,discrete,stratified final20 single observation,56.0,56.0,0.0,0.9904771622684038,0.9904771622684038,False,validated,validated,output\paper_v1\hurricane_final_20\slots\69\attempts\final20_69_10bbb26fb2684c84bed58bedbdb98bb9,output\paper_v1\hurricane_final_20\slots\71\attempts\final20_71_4d535e933a604b2e9ccbe57363192e3c
AL022011__AL071977,H32,hurricane,continuous,stratified final20 single observation,6.0,6.0,0.0,1.0256754324899027,0.9719810646650935,True,validated,validated,output\paper_v1\hurricane_final_20\slots\75\attempts\final20_75_964fe43252604578a7224b4d0700a9ee,output\paper_v1\hurricane_final_20\slots\73\attempts\final20_73_b1dda7d0a6b44fad905cf9786dcf9244
AL022011__AL071977,H32,hurricane,discrete,stratified final20 single observation,27.0,27.0,0.0,0.9748223590467361,0.9748223590467361,False,validated,validated,output\paper_v1\hurricane_final_20\slots\76\attempts\final20_76_c36d9f294ed945ea94d2301a0ea593a4,output\paper_v1\hurricane_final_20\slots\74\attempts\final20_74_ee94d0d551c84e2781b4167a658e706c
EP101972__EP141967,H33,hurricane,continuous,stratified final20 single observation,6.0,6.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\78\attempts\final20_78_36900cf3aa184930b1d4bf30ee68c735,output\paper_v1\hurricane_final_20\slots\80\attempts\final20_80_bf6c654f7b404c9f8617a00187e97b14
EP101972__EP141967,H33,hurricane,discrete,stratified final20 single observation,32.0,32.0,0.0,1.0,1.0,False,validated,validated,output\paper_v1\hurricane_final_20\slots\79\attempts\final20_79_5b32313c9cce4e39b5dc21250a68b065,output\paper_v1\hurricane_final_20\slots\77\attempts\final20_77_dbc630bc997a4eac921ad233c09583b2
